_index,low_spec_1,low_spec_2,low_spec_3,low_spec_4,low_spec_5,low_spec_6,low_spec_7,low_spec_8,low_spec_9,low_spec_10,low_spec_11,low_spec_12,low_spec_13,low_spec_14,low_spec_15,low_spec_16,low_spec_17,low_spec_18,low_spec_19,low_spec_20,low_spec_21,low_spec_22,low_spec_23,low_spec_24,low_spec_25,low_spec_26,low_spec_27,low_spec_28,low_spec_29,low_spec_30,low_spec_31,low_spec_32,low_spec_33,low_spec_34,low_spec_35,low_spec_36,low_spec_37,low_spec_38,low_spec_39,low_spec_40,low_spec_41,low_spec_42,low_spec_43,low_spec_44,low_spec_45,low_spec_46,low_spec_47,low_spec_48,low_spec_49,low_spec_50,low_spec_51,low_spec_52,low_spec_53,low_spec_54,low_spec_55,low_spec_56,low_spec_57,low_spec_58,low_spec_59,low_spec_60,low_spec_61,low_spec_62,low_spec_63,low_spec_64,low_spec_65,low_spec_66,low_spec_67,low_spec_68,low_spec_69,low_spec_70,low_spec_71,low_spec_72,low_spec_73,low_spec_74,low_spec_75,low_spec_76,low_spec_77,low_spec_78,low_spec_79,low_spec_80,low_spec_81,low_spec_82,low_spec_83,low_spec_84,low_spec_85
FCER1A-pro,2.1257165148100837e-09,0.05721118850678733,0.0032646389762808737,0.11088049746531257,0.05375847162911773,0.029831475835181052,0.0017701955310958264,0.03972120681478737,0.0795679395524999,0.006305220551125219,0.01906836952076064,0.013847649239946256,0.017383217604809834,0.01730699130286427,0.017068176750942774,0.010839047781997437,0.014477609115671706,0.005205615041264543,0.017993163877461076,0.011828676930497332,0.018273290444669462,0.0031945255277680963,0.009345604806636435,0.00011819227054809099,0.009884958153824824,0.0011847462407650084,0.006386805977429148,0.006337289774432713,0.0037449410302648947,0.01107152548734758,0.006471452262227788,0.009726300118640709,0.008081870523604644,0.0022844057921220166,0.0024698774705695105,0.009858050530844728,0.011128655710994726,0.010923814638177202,0.00980499145906976,0.024595258106828968,0.01014437081926718,0.028172863624415102,0.01084745795067946,0.011108876985936277,0.0033960979446576683,0.017590161434577287,0.008953211396378735,0.0013985387309320965,0.0003502988854475548,0.0008726711731108124,0.0074811805846365514,0.006096467210923157,0.007257298802311883,0.017497521931238366,0.01521504487500705,0.004154677274110795,0.014078088425566695,0.0057573963598171116,0.006260124940200217,0.014227450685798032,0.0009406796786639558,0.0006455172771071958,0.003176575333615368,0.00862397628992446,0.0016576775904389106,0.007468494683546642,0.0017174139043014704,0.006000538482417851,0.004272024332337275,0.0031713475433884724,0.0027836046751485723,0.013487614172038165,0.010219231330347528,0.004276117871955409,0.0008732530689130528,0.00011729940491326747,0.0032475825555835507,0.007232358837633745,0.004057863457188854,0.015844946621929673,0.004530673500740749,0.0025659025123380397,0.008145946208512155,0.0004784110070041949,0.001389239144112665
SiglecH.SIGLEC-pro,6.50705783780235e-08,0.08899056470559502,0.015681100275481478,0.08522824194493862,0.057560573959963356,0.020537374262833138,0.023990980985964458,0.022905438135532627,0.03694479431796467,0.00870467969436835,0.024372603049905028,0.003313604984738777,0.01572617882861597,0.02149196281812032,0.010203753914648873,0.006079113206841258,0.01805690089808635,0.007286563359228972,0.04934798975504469,0.02628415932926482,0.001567089373107593,0.002098650442726337,2.9516604061768315e-05,0.0120215222066647,0.0025930179358426603,0.010588610513339525,0.005892400072219116,0.0028853450145625856,0.0013642988981484572,0.004223470866381633,0.0035888674151014362,0.008841249940642166,0.003477129967361446,0.008276460673580318,0.007847937690470317,0.010321079284350318,0.013134804349138576,0.014011733434880358,0.00881106179323994,0.009177128838617533,0.0026046556565082384,0.014073888203036084,0.0036733786372749305,0.00709312470425979,0.005574928706196839,0.006134932927196386,0.008057647418281919,0.006929398173662243,0.0063059518390982585,0.00419089561054926,0.010765067625116444,0.006313677623909133,0.01687606582068489,0.016821397294423543,0.009661259750450214,0.007044650676243432,0.01423523075518703,0.012137149372005695,0.003881764031666443,0.016566215832757664,0.008580869001725147,0.004933423092875296,0.006004496167652746,0.011081528355626778,0.002111879277135753,0.015343898444079667,0.010203426093883949,0.005751130630051324,0.005594392405078819,0.006269414585557664,0.0020701164327244313,0.010785551871221447,0.006849982729325102,0.005577785152178746,0.01501776212448307,0.0014801945321958403,0.008685992818549945,0.0006122281208182959,0.0005896966275320362,0.0035734248100675148,0.0013621826331983332,0.00226504830478144,0.006286439856157692,0.005625188899925607,0.0009446475625131091
Folate.Receptor-pro,3.175787834096903e-09,0.11112812159836301,0.00031476255447590416,0.04471890238888418,0.04973132690229498,0.03904330299679201,0.010086307540572556,0.010250704479111875,0.02591351825667552,0.02284061584991393,0.005656158273273266,0.012326398549433251,0.0020542460052050985,0.022596714919153594,0.012670518431220829,0.00111415640154714,0.010028879322450251,0.0007932486729884148,0.004438308859353208,0.014889022158966234,0.01270260800334562,0.006044710832812654,0.011674080848109563,0.015491803441366594,0.02142899296720539,0.017320550857052096,0.009999355251968595,0.005486531419530361,0.011219389023798298,0.013255548027150147,0.010980871508862823,0.0009786044419180335,0.021859183009403503,0.022260724275623322,0.0019077801323482,0.007070754414831483,0.007303742150008015,0.01341093560832125,0.0007051798421514635,0.002305393989231758,0.00665729060814919,0.006777839913195176,0.005303688704914965,0.021898313832190666,0.0055776370466779504,0.007936043775342226,0.003640794087407278,0.003763761933228977,0.0044996299999651755,0.008911323539192802,0.004679014583536216,0.008750755139084678,0.02847290673492145,0.00047538566206285483,0.011126760207430723,0.0033179118380446586,0.00017427388737714308,0.014237375709593443,0.00745543098631178,0.009134084563122844,0.010691682051599231,0.014477849501547598,0.007024084493037325,0.0057864184946941335,0.0062349929569469114,0.0015870373275374853,0.017511848470959622,0.0031944168855364903,0.02630647486665912,0.006621474518316171,0.0041050791671776365,0.021362854800788044,0.021916793150841024,0.005484021894386993,0.004021191016121696,0.010006888130009772,0.002644238621346306,0.0022893869802437104,0.000602651665665486,0.018403196310811214,0.007522051030762977,0.0033978255593990546,0.005185410482012575,0.01278697037535612,0.004042981114990941
CD63-pro,4.2256837997898235e-09,0.0700077172139373,0.013505354268329788,0.011229143960410987,0.00406473326718259,0.020331162564155274,0.04915390030287793,0.014531388877702766,0.020393678199487737,0.008468662072352175,0.00944135952414429,0.025874048782442535,0.014720822228846237,0.009802311124049598,0.03040932538789031,0.00218920865814861,0.025014705904333155,0.006080026769704647,0.003112502823604309,0.0003216726598378908,0.04314119834739032,0.020782623705546215,0.025681859676323072,0.0019783025536417383,0.000598118019531312,0.03884960447909018,0.001757096052799231,0.012292058096302749,0.020742956116184347,0.006334695163917874,0.013180940499564977,0.023367422926053746,0.00147988066254941,0.0070626524923369,0.009069379710151216,0.0020510001512739156,0.006386676003080221,0.015716882693970965,0.006766224250683602,0.006074987742191756,0.008982481611558657,0.003306378299306568,0.006133268979353503,0.002225796646602015,0.002375680939676371,0.012414654352452632,0.0026820523341255626,0.014252309039652238,0.006523775259165071,0.014830466060847982,0.007734236501719744,0.014723269422471378,0.002965679048913,0.013917453566322954,0.007317368756610962,0.0008076663932583862,0.009350163921336327,0.023661770671205604,0.0029398956689864,0.020813706422224524,0.0027382230923871137,0.01721400456017957,0.013436679109658504,0.009160386067483827,0.00718198366750478,0.014298233379383475,0.0008906287227545083,0.008402620067256526,0.00348807895186479,0.009871466724139388,0.015656261905922862,0.0100784297976377,0.01210827353640531,0.010423876272833634,0.01407149157938882,0.0013184892044555945,0.007905188161506017,0.007634207904439578,0.002029247493140503,0.007218168337877272,0.007200839270742652,0.0030673275835116196,0.021613582769132316,0.009694129846923435,0.0033738199399743
CD55-pro,1.4968244808937753e-08,0.07891031891776815,0.025465436548872917,0.02984768236906912,0.015763495223139107,0.019937599848094418,0.018070704593222874,0.03323416236306787,0.0579205224761957,0.03575059874070781,0.005313182875885815,0.027581968683883677,0.012473265591004498,0.0012917415300421158,0.009567764168629084,0.02599517360333469,0.01539326839846595,0.0029442523459851724,0.006606317754967494,0.0006857362853003859,0.023091615363958127,0.004450040616577101,0.01795741436404582,0.005407475871618,0.010856114907467932,0.008371466316069385,0.005646692071887302,0.011215640119483486,0.015666344601187824,3.396831600946612e-05,0.014751230105665931,0.005744455839070723,0.004297077417475885,0.008369718040110692,0.013148022606144326,0.006918976948898822,0.0016176469511528563,0.010753973782501512,0.005584276045546816,0.009084269551838027,0.001433929277963068,0.01408398320674302,0.020161773701727215,0.006051040132318642,0.015325479869151499,0.003559558870043481,0.011599095148819304,0.004498207097591861,0.007562986764200694,5.699161355559269e-06,0.0047377185275693035,0.0045245233104866354,0.009701481693068354,0.007396776870301033,0.004037488570771839,0.003484137281380938,0.011608765012361072,0.013813861540516573,0.031857678271722,0.015960188033717588,0.0035582244620739707,0.0024293770338839225,0.0027865897568898016,0.006103476175141862,0.011093340515889935,0.008455366723119579,0.00765318883911678,0.00900033762003127,0.008573306674600373,0.0022278613032751557,0.011743727108400692,0.015518529057314632,0.011141812135652117,0.0005136770581597446,0.01937371593933185,0.014997284547890243,0.0032698853097577313,0.0069548315201917255,0.003340863043052423,0.005915174855165515,0.0017364838403114923,0.010426117789245936,0.014129189434149732,0.002759961662325839,0.019173678130626443
NK.1.1.KLRB1-pro,2.75221637234084e-08,0.035582389385702864,0.010055338832031043,0.014785762241658014,0.046000589273304124,0.04286636289193431,0.02964449933656462,0.0033996527902953487,0.018436328917172656,0.029485234945353517,0.01171276230195511,0.001024318610797735,0.021649604947059253,0.04005427402039636,0.023343450398381267,0.011127160039871204,0.019823274770600315,0.0011217133469870356,0.021517243358906618,0.012859713793885244,0.0015192757103178627,0.004566889867712607,0.021213956123981973,0.01603935614799329,0.013656546195922869,0.001946505736444723,0.00021309800980892909,0.004041213150107362,0.018835055377387132,0.02026229173969462,0.031315263445197944,0.013880728362570578,0.009807399683771569,0.00835132581533537,0.0034234318015202957,0.01288320735807624,0.00922684861247465,0.012962597118178392,0.018132282250227883,0.012911077500371702,0.009013924024270646,0.018674940919105702,0.02043167533057325,0.015526028255294783,0.02438216340177176,0.018132154347754167,0.0020330943290185494,0.0017347959004523894,0.009357818907558695,0.006705019102318551,0.01035266002946674,0.0021823831682930644,0.015670463846624454,0.015758854328823207,0.009371834036761839,0.006686673421144255,0.006132272443029974,0.006367655721924061,0.014705791592201959,0.010718353300808574,0.0019826818509492234,0.008561122336117444,0.001541028477593198,0.005716416022486413,0.0017822092009361578,0.00975304608952688,0.007924558779381044,0.01593239280619858,0.0016442692602671308,0.01340637913762222,0.009895972349971157,0.006438678395672606,0.0013125682579006612,0.007423948411089686,0.012864817216652481,0.006961961032340991,0.0025491326090051445,0.0061502850851406915,0.004388186320307874,0.005080018363512745,0.005074573098159678,0.00024465863656620326,0.0008669197989092591,0.0036648058343093873,0.005222762490070446
CD49d.ITGA4-pro,2.556096337316235e-08,0.08160360397005194,0.03742149410819109,0.02384103391688905,0.03221863761791519,0.027702436760510082,0.02657811084621794,0.02188138247535148,0.0152649972252783,0.02503211443834988,0.013523666170908655,0.004999329999360755,0.0004498554560711509,0.0007616098600187199,0.01643765728717423,0.005673180088344041,0.017394598559657127,0.0031240507195703176,0.03788859177730653,0.005933888246983424,0.02556543222934674,0.008938334901047569,0.0038351681089223554,0.008769454296638796,0.0014478573304152129,0.020227505308025025,0.0017843642839190158,0.0184939233112037,0.01776191861036368,0.024518654603892825,0.008483097759109007,0.02416889935292584,0.0035685828080737267,0.005073175753680888,0.005844455891247402,0.0036768711409961245,0.004358889452327826,0.006403120195038286,0.011940455673088622,0.000657114228642366,0.013276988706333545,0.0032041699698897573,0.0027810886924964752,0.003446291648524757,0.007234688679760867,0.001547932830276051,0.007585229415879104,0.012999414461948394,0.014542602181082115,0.003980412754966696,0.006749855391920565,0.012674964284915753,0.017337431884974917,0.0008177119263090487,0.0012789399520495186,0.013618341372310886,0.0010838991289929165,0.0010371824976861007,0.0116405812552762,0.008182111845524712,0.003149653447123528,0.017590570162997376,0.006523996145273894,0.008479997995232736,0.007486034527095631,0.027744779509223206,0.016190132252331946,0.005919045099163603,0.019625814553340164,0.0009480856216021779,0.007348544570555022,0.016788254668889627,0.018748930297584517,0.002648291546557653,0.00893854665310303,0.004933633052854119,0.00857437537664601,0.013572623353351897,0.0024720221109279517,0.008827725096432976,0.008589453770126687,0.0008410962074377143,0.018715237425312784,0.0144867532811886,0.0025890240705103837
CD45.PTPRC-pro,1.7759635988258776e-09,0.04108688767041768,0.0008128844473892279,0.021225323296814355,0.03639470681837371,0.029321716534283532,0.03132884776169557,0.026013150375649212,0.036012391975551346,0.012160315471612705,0.02010322640200099,0.017876967607966684,0.010187023940812381,0.00495209987273989,0.02715987768717463,0.012091869956869523,0.01993600062804724,0.01245468053634332,0.016349914754445846,0.001139771060853142,0.024659316327444,0.008709268497638145,0.01235084483533079,0.019308235431497525,0.005177111865967363,0.016374379011342585,0.010882934693252732,0.0067706217742089635,0.018784594433737624,0.008754759251589535,0.0009552642422380979,0.009001929280788511,0.016104744165407407,0.01556239728161656,0.00600332089911127,0.005448982037010755,0.01435158901224175,0.015612432472501965,0.005577451088608173,0.0006693225530453975,0.0024907404016973294,0.013640546662441516,0.004203046974491302,0.024795087604962518,0.0032042095396566275,0.01391173435991895,0.0063187018701189425,0.002350329866512073,0.011778983914395833,0.0058617566305958916,0.006243987674643694,0.004243892030691312,0.01983444603693111,0.000644864825728506,0.005453188056652483,0.005227018158936747,0.0006267089316103947,0.005546688324553366,0.02043466582738216,0.0021636060780511716,0.009753347045780202,0.010729074670715988,0.0008857456805966965,0.012006285694480142,0.019099977664534164,0.006394662049965911,0.00042343749501200776,0.004510916593478708,0.02086559849239743,0.002009717175599303,0.0032952425081396283,0.024176889137450967,0.023992214592503596,0.005898225806509509,0.009815936095691731,0.0007587908034326071,0.01569921162848735,0.003177272362970095,0.005645458626195277,0.017260464385980386,0.010028428132572102,0.007168384795911509,0.01583173314006865,0.013851268759783224,8.03551621876246e-05
CD41.ITGA2B-pro,9.954082155995956e-09,0.05089473276054129,0.051567247816251875,0.019468271018357897,0.01143858967381347,0.00048493906482616927,0.030130791182313314,0.032057754022381264,0.04350725268953936,0.04030377569080137,0.005609258310392236,0.024431052494669633,0.0052459731327327815,0.003816295638834221,0.005679468541987817,0.01889574658636926,0.0035270744701407122,0.009912797404688213,0.006023228915097562,0.015328467011268916,0.018558615910280695,0.011496009955957644,0.013963647720958658,0.013864872351738684,0.003521767552294994,0.003940473490347552,0.010246895848104903,0.010864379623323766,0.0012677774835942231,0.0062326442229935575,0.007361478905553124,0.004518848967438299,0.0031434365513789094,0.0051364887539971475,0.016905798967038754,0.005011130970406278,0.004559689372504893,0.007199855004863478,0.0030172405411032647,0.01728750707727477,0.0016092185649052306,0.02311761573195216,0.033239322303251925,0.01655203260500827,0.0075943003282548036,0.009020483610246887,0.009033866719108736,0.0065450633662262345,0.008119970521822291,0.010736676705909545,0.006977804224542567,0.006710808439322861,0.013131014497445805,0.006788970451333387,0.013570319740245777,0.008729176387095318,0.0036339308264029917,0.005580142578652396,0.029534404630558377,0.005356202695653151,0.01580357205524426,0.017340260726583446,0.0049246548411185555,0.003651965241113546,0.014295406940491643,0.0027582752393228256,0.0058004369202588465,0.00966205229065968,0.011142706217771412,0.004339947911018645,0.024645738592663207,0.007423061502646075,0.011702560765171727,0.0038311515445080724,0.013864946601577288,0.0014621070278311803,0.005736918453119483,0.019723527245376925,0.006958601054649743,0.004001536894472791,0.00028635554123912526,0.004618771115178952,0.012527849656403524,0.011343863018346221,0.010151122025051093
CD326.Ep.CAM-pro,2.1798574929233672e-08,0.021980090140577634,0.04665851720369008,0.08228478281565049,0.019151907691694465,0.013430521722761445,0.026161102856938356,0.021542153400540085,0.04212306604972445,0.0038177293257831346,0.02397306259434354,0.012057324283714085,0.017819006795816106,0.01605691932592088,0.021550534940503227,0.0018252111256941677,0.020882360285188323,0.015200752336870524,0.012795722951315168,0.029978685207769647,0.02461070562697867,0.0019467666644026602,0.008224682523533021,0.0008876783522287245,0.007311813942975461,0.0005966239219337962,0.025284293522693107,0.011765515742216568,0.0013317589386722492,0.0034859322901029206,0.024734140714749716,0.001387017652821157,0.0034662536515159856,0.0023038493751615322,0.005377229661751092,0.028118659414423833,0.00608523030952813,0.0005762460871710067,0.010462419108972545,0.007566276318459973,0.011023807991913197,0.008764682518278053,0.019933154978703137,0.010519213679294082,0.014579685478128365,0.004019713582612693,0.0018696154689620958,0.01830357377325468,0.0060325494681991365,0.00336828872144916,0.009119518613276973,0.005009918267800265,0.026487818201735833,0.0032482634472669487,0.0011035435052807031,0.004595478525347875,0.015578996732698053,0.006888060020637781,0.010111449641004987,0.008648660537861718,0.007694521343065162,0.013121911260357307,0.005707944496321665,0.008716068379740996,0.01164170405380742,0.0037877573810784874,0.007829405332095076,0.004817022237287501,0.015770322555446456,0.003959978697560998,0.007910745625285475,0.01522130447312055,0.008016633016435248,0.011823979506450576,0.01284720332530959,0.0010572739350114462,0.002861107745655805,0.00268505342626652,0.0021943030914519128,0.006432118997452504,0.0029786330490764786,0.010799629705978909,0.015915471790806712,0.00043609359501795643,0.0017552531528506456
