_index,attribute,louvain
FCER1A-pro,protein,1
SiglecH.SIGLEC-pro,protein,1
Folate.Receptor-pro,protein,1
CD63-pro,protein,1
CD55-pro,protein,1
NK.1.1.KLRB1-pro,protein,0
CD49d.ITGA4-pro,protein,1
CD45.PTPRC-pro,protein,1
CD41.ITGA2B-pro,protein,0
CD326.Ep.CAM-pro,protein,1
CD309.KDR-pro,protein,1
P2RY12-pro,protein,1
Ly.6A.E-pro,protein,1
CD304.NPR1-pro,protein,1
ErythroidCells.LY76-pro,protein,1
CD201.EPCR-pro,protein,1
Notch1-pro,protein,1
ESAM-pro,protein,1
PanendothelialCellAntigen-pro,protein,0
CD102.ICAM2-pro,protein,0
CD117.KIT-pro,protein,1
MAdCAM.1-pro,protein,1
Pnisr,rna,1
Polr2a,rna,0
Pnck,rna,0
Pnmal1,rna,0
Pole,rna,1
Poll,rna,0
Pms1,rna,0
Pmpca,rna,0
Polr1b,rna,1
Polrmt,rna,0
Ppm1l,rna,0
Por,rna,1
Pou2f2,rna,1
Pou3f2,rna,1
Pou3f3,rna,1
Pou3f4,rna,1
Pou4f1,rna,0
Ppm1g,rna,1
Plxnd1,rna,0
Ppp1r11,rna,0
Ppp1r17,rna,0
Ppp1r9a,rna,0
Ppp2r2d,rna,0
Ppp5c,rna,1
Ppwd1,rna,0
Pomgnt2,rna,0
Plxdc2,rna,0
Pln,rna,0
Plp2,rna,0
Pgam2,rna,2
Pfkp,rna,0
Pfkfb2,rna,0
Pf4,rna,0
Pex2,rna,0
Pex14,rna,0
Pex1,rna,0
Peg3,rna,0
Pgm2l1,rna,0
Pecr,rna,0
Pea15a,rna,1
Pdxk,rna,0
Pdp2,rna,0
Pdgfra,rna,0
Pdcd4,rna,0
Pdcd2l,rna,0
Pcsk5,rna,0
Pcdhga12,rna,0
Peak1,rna,0
Plppr2,rna,0
Phc2,rna,0
Phf8,rna,1
Pqbp1,rna,0
Plekhm1,rna,0
Plekhg5,rna,0
Plekha5,rna,1
Pld2,rna,0
Plagl1,rna,0
Pla2g4a,rna,0
Pla2g16,rna,0
Phf21b,rna,1
Pknox2,rna,0
Pkm,rna,1
Pklr,rna,0
Pkdcc,rna,0
Pip4k2c,rna,0
Pik3r1,rna,0
Pigyl,rna,0
Phox2b,rna,0
Phospho2,rna,0
Pkmyt1,rna,0
Pqlc1,rna,0
Prkcz,rna,0
Prex1,rna,0
Rgma,rna,0
Rfx4,rna,1
Rfc1,rna,1
Reln,rna,0
Relb,rna,0
Rcor2,rna,1
Rbpms,rna,0
Rbm4b,rna,0
Rbm25,rna,1
Rbfox3,rna,1
Rax,rna,0
Raver1,rna,0
Rassf4,rna,1
Rassf3,rna,0
Rasl10b,rna,0
Rara,rna,0
Ralb,rna,0
Rgmb,rna,0
Rgs4,rna,1
Rian,rna,0
Rif1,rna,1
Rpl4,rna,1
Rpl38,rna,1
Rpl36,rna,1
Rpl34,rna,0
Rpl31.ps17,rna,1
Rpl3,rna,0
Rpl29,rna,0
Rpl18a,rna,1
Rad17,rna,0
Rpl18,rna,1
Rnpepl1,rna,0
Rnf185,rna,0
Rnf165,rna,1
Rnf149,rna,0
Rnf141,rna,0
Rnf10,rna,0
Rnd2,rna,0
Ring1,rna,0
