_index,attribute,louvain
FCER1A-pro,protein,0
SiglecH.SIGLEC-pro,protein,1
Folate.Receptor-pro,protein,1
CD63-pro,protein,6
CD55-pro,protein,1
NK.1.1.KLRB1-pro,protein,19
CD49d.ITGA4-pro,protein,1
CD45.PTPRC-pro,protein,6
CD41.ITGA2B-pro,protein,18
CD326.Ep.CAM-pro,protein,0
CD309.KDR-pro,protein,0
P2RY12-pro,protein,0
Ly.6A.E-pro,protein,0
CD304.NPR1-pro,protein,0
ErythroidCells.LY76-pro,protein,1
CD201.EPCR-pro,protein,1
Notch1-pro,protein,1
ESAM-pro,protein,0
PanendothelialCellAntigen-pro,protein,26
CD102.ICAM2-pro,protein,26
CD117.KIT-pro,protein,0
MAdCAM.1-pro,protein,1
Pnisr,rna,1
Polr2a,rna,21
Pnck,rna,7
Pnmal1,rna,8
Pole,rna,1
Poll,rna,27
Pms1,rna,10
Pmpca,rna,26
Polr1b,rna,9
Polrmt,rna,19
Ppm1l,rna,7
Por,rna,4
Pou2f2,rna,0
Pou3f2,rna,0
Pou3f3,rna,1
Pou3f4,rna,9
Pou4f1,rna,4
Ppm1g,rna,0
Plxnd1,rna,24
Ppp1r11,rna,3
Ppp1r17,rna,4
Ppp1r9a,rna,3
Ppp2r2d,rna,18
Ppp5c,rna,9
Ppwd1,rna,7
Pomgnt2,rna,19
Plxdc2,rna,17
Pln,rna,12
Plp2,rna,24
Pgam2,rna,12
Pfkp,rna,14
Pfkfb2,rna,20
Pf4,rna,4
Pex2,rna,14
Pex14,rna,5
Pex1,rna,6
Peg3,rna,2
Pgm2l1,rna,8
Pecr,rna,25
Pea15a,rna,0
Pdxk,rna,11
Pdp2,rna,18
Pdgfra,rna,3
Pdcd4,rna,27
Pdcd2l,rna,16
Pcsk5,rna,17
Pcdhga12,rna,8
Peak1,rna,4
Plppr2,rna,14
Phc2,rna,7
Phf8,rna,6
Pqbp1,rna,19
Plekhm1,rna,24
Plekhg5,rna,3
Plekha5,rna,9
Pld2,rna,16
Plagl1,rna,19
Pla2g4a,rna,18
Pla2g16,rna,10
Phf21b,rna,24
Pknox2,rna,16
Pkm,rna,0
Pklr,rna,16
Pkdcc,rna,2
Pip4k2c,rna,10
Pik3r1,rna,7
Pigyl,rna,6
Phox2b,rna,23
Phospho2,rna,24
Pkmyt1,rna,2
Pqlc1,rna,25
Prkcz,rna,19
Prex1,rna,17
Rgma,rna,10
Rfx4,rna,9
Rfc1,rna,6
Reln,rna,19
Relb,rna,22
Rcor2,rna,0
Rbpms,rna,7
Rbm4b,rna,11
Rbm25,rna,0
Rbfox3,rna,4
Rax,rna,17
Raver1,rna,4
Rassf4,rna,6
Rassf3,rna,12
Rasl10b,rna,7
Rara,rna,3
Ralb,rna,16
Rgmb,rna,23
Rgs4,rna,1
Rian,rna,14
Rif1,rna,23
Rpl4,rna,8
Rpl38,rna,0
Rpl36,rna,8
Rpl34,rna,16
Rpl31.ps17,rna,0
Rpl3,rna,8
Rpl29,rna,14
Rpl18a,rna,8
Rad17,rna,10
Rpl18,rna,0
Rnpepl1,rna,9
Rnf185,rna,5
Rnf165,rna,0
Rnf149,rna,29
Rnf141,rna,14
Rnf10,rna,8
Rnd2,rna,23
Ring1,rna,4
Rpap2,rna,13
Rab6b,rna,20
Rab3d,rna,14
Rab3c,rna,14
Psma2,rna,27
Psip1,rna,0
Psen2,rna,6
Prrg3,rna,28
Prrg2,rna,18
Prrc2c,rna,0
Prrc2b,rna,2
Prr11,rna,10
Psmd5,rna,3
Prph,rna,25
Prpf3,rna,8
Prox1,rna,8
Prmt2,rna,5
Prkrip1,rna,11
Prkg2,rna,5
Prkd2,rna,0
Pcdh19,rna,1
Prim2,rna,20
Prpf38b,rna,8
Prdm5,rna,4
Psmg2,rna,24
Pth1r,rna,1
Rab3b,rna,7
Rab2b,rna,13
Rab18,rna,15
Rab11fip1,rna,11
RP23.60P23.4,rna,15
RP23.322E23.5,rna,11
R3hdm2,rna,2
Qk,rna,0
Ptch1,rna,2
Pxmp4,rna,6
Ptprz1,rna,1
Ptpru,rna,1
Ptprj,rna,7
Ptprf,rna,0
Ptpn5,rna,11
Ptpn21,rna,3
Ptn,rna,4
Ptma,rna,0
Ptrf,rna,23
Pcdh17,rna,16
AU040320,rna,10
